"Description","Code","Brand","Retail Bottle Price","Discount Per Bottle","Sale Bottle Price","Price per Liter"
"STRAIGHT BOURBON WHISKEY","021236","1792 Ridgemont Reserve 750ml","31.95","2.00","29.95","39.93"
"STRAIGHT BOURBON WHISKEY","016538","Ancient Ancient Age 1.75L","24.90","2.00","22.90","13.09"
"STRAIGHT BOURBON WHISKEY","016580","Baker's 750ml","44.95","5.00","39.95","53.27"
"STRAIGHT BOURBON WHISKEY","016850","Blanton Single Barrel 750ml","51.90","3.00","48.90","65.20"
"STRAIGHT BOURBON WHISKEY","017017","Bowman's Bourbon 1L","9.90","1.00","8.90","8.90"
"STRAIGHT BOURBON WHISKEY","017946","Elmer T Lee Bourbon 750ml","28.95","4.00","24.95","33.27"
"STRAIGHT BOURBON WHISKEY","018098","Evan Williams 1783 1.75L","26.95","2.00","24.95","14.26"
"STRAIGHT BOURBON WHISKEY","018048","Evan Williams Green 1.75L","19.95","2.00","17.95","10.26"
"STRAIGHT BOURBON WHISKEY","018276","Fighting Cock 750ml","17.70","1.00","16.70","22.27"
"STRAIGHT BOURBON WHISKEY","018348","Four Roses Small Batch Bourbon 750ml","34.95","5.00","29.95","39.93"
"STRAIGHT BOURBON WHISKEY","018928","J.T.S. Brown 1.75L","17.70","2.00","15.70","8.97"
"STRAIGHT BOURBON WHISKEY","019006","Jefferson Reserve 750ml","49.95","3.00","46.95","62.60"
"STRAIGHT BOURBON WHISKEY","019068","Jim Beam 1.75L","29.95","2.00","27.95","15.97"
"STRAIGHT BOURBON WHISKEY","019028","Jim Beam Black 1.75L","47.95","5.00","42.95","24.54"
"STRAIGHT BOURBON WHISKEY","000418","Jim Beam With Coke 1.75L","29.95","2.00","27.95","15.97"
"STRAIGHT BOURBON WHISKEY","019226","Knob Creek 750ml","33.90","4.00","29.90","39.87"
"STRAIGHT BOURBON WHISKEY","019478","Maker's Mark 1.75L","57.90","5.00","52.90","30.23"
"STRAIGHT BOURBON WHISKEY","019638","Mattingly & Moore 1.75L","18.75","2.00","16.75","9.57"
"STRAIGHT BOURBON WHISKEY","020446","Old Grand Dad 86 750ml","17.95","1.00","16.95","22.60"
"STRAIGHT BOURBON WHISKEY","021206","Rebel Yell 750ml","16.45","1.50","14.95","19.93"
"STRAIGHT BOURBON WHISKEY","027551","Red Stag 1.75L","37.95","3.00","34.95","19.97"
"STRAIGHT BOURBON WHISKEY","000957","Red Stag With Coke 1.75L","37.95","3.00","34.95","19.97"
"STRAIGHT BOURBON WHISKEY","022156","Wild Turkey 101 750ml","23.95","2.00","21.95","29.27"
"STRAIGHT BOURBON WHISKEY","022118","Wild Turkey 80 1.75L","43.95","3.00","40.95","23.40"
"STRAIGHT BOURBON WHISKEY","022166","Wild Turkey Bourbon PET 750ml","23.95","2.00","21.95","29.27"
"TENNESSEE WHISKEY","026598","George Dickel Cascade Hollow 1.75L","31.95","2.00","29.95","17.11"
"TENNESSEE WHISKEY","026828","Jack Daniel's 7 Black 1.75L","47.95","5.00","42.95","24.54"
"STRAIGHT RYE WHISKEY","027056","Jim Beam Rye 750ml","17.95","1.00","16.95","22.60"
"BLENDED WHISKEY","024458","Kessler 1.75L","19.95","2.00","17.95","10.26"
"WHISKEY","027475","Bird Dog Blackberry Flav. Whiskey 750ml","19.95","1.00","18.95","25.27"
"WHISKEY","017668","Distiller's Pride 1.75L","16.95","2.00","14.95","8.54"
"WHISKEY","017830","Early Times PET 1.75L","23.95","2.00","21.95","12.54"
"WHISKEY","022175","Wild Turkey Russell Reserve 750ml","32.95","3.00","29.95","39.93"
"GRAPE BRANDY (DOMESTIC)","052316","Christian Brothers Brandy 750ml","12.45","1.50","10.95","14.60"
"GRAPE BRANDY (DOMESTIC)","053206","Paul Masson Grande Amber VSOP 750ml","15.45","1.00","14.45","19.27"
"GRAPE BRANDY (DOMESTIC)","052166","The Christian Brothers X.O. 750ml","15.90","1.95","13.95","18.60"
"CANADIAN WHISKY","011788","Black Velvet Portable 1.75L","20.95","2.50","18.45","10.54"
"CANADIAN WHISKY","011848","Bowman's Canadian 1.75L","16.95","2.00","14.95","8.54"
"CANADIAN WHISKY","010628","Canadian Club 1.75L","29.95","3.00","26.95","15.40"
"CANADIAN WHISKY","010846","Canadian Club Classic 12 YR 750ml","19.95","2.00","17.95","23.93"
"CANADIAN WHISKY","012308","Canadian Hunter 1.75L","18.90","2.00","16.90","9.66"
"CANADIAN WHISKY","011058","Canadian MacNaughton 1.75L","19.95","2.50","17.45","9.97"
"CANADIAN WHISKY","011930","Canadian Mist Black Diamond 750ml","14.95","1.00","13.95","18.60"
"CANADIAN WHISKY","011366","Crown Royal Special Reserve 750ml","42.90","2.95","39.95","53.27"
"CANADIAN WHISKY","013248","Harwood Canadian 1.75L","17.95","2.00","15.95","9.11"
"CANADIAN WHISKY","013638","Lord Calvert 1.75L","19.95","2.00","17.95","10.26"
"CANADIAN WHISKY","011326","Seagram's VO Gold 750ml","19.95","1.00","18.95","25.27"
"CANADIAN WHISKY","011416","Wiser's Deluxe Canadian Whisky 750ml","19.95","2.00","17.95","23.93"
"COCKTAILS (DOMESTIC)","057108","Burnett's Cosmo Cocktail 1.75L","12.90","3.00","9.90","5.66"
"COCKTAILS (DOMESTIC)","062390","Margaritaville Classic Mojito RTD 1.75L","17.90","2.00","15.90","9.09"
"COCKTAILS (DOMESTIC)","062392","Margaritaville Pomegranate Mojito RTD 1.75L","17.90","2.00","15.90","9.09"
"COCKTAILS (DOMESTIC)","063694","Smirnoff Cocktails - Savannah Tea 1.75L","21.90","2.00","19.90","11.37"
"COCKTAILS (DOMESTIC)","063352","Smirnoff Cocktails Tuscan Lemonade 1.75L","21.90","2.00","19.90","11.37"
"COCKTAILS (DOMESTIC)","063963","UV Pink Lemonade Cocktail 1.75L","16.95","2.00","14.95","8.54"
"COCKTAILS (IMPORTED)","066580","Salvador's Premium Margarita - 100% Agave 1.75L","16.95","2.00","14.95","8.54"
"COGNAC/ARMAGNAC","047556","Ansac V. S. O. P. 750ml","27.90","2.00","25.90","34.53"
"COGNAC/ARMAGNAC","047833","Courvoisier Exclusif VSOP 750ml","39.90","4.95","34.95","46.60"
"COGNAC/ARMAGNAC","047786","Courvoisier VS 750ml","29.95","2.00","27.95","37.27"
"COGNAC/ARMAGNAC","048108","Hennessy VS 1.75L","72.90","12.95","59.95","34.26"
"COGNAC/ARMAGNAC","048117","Hennessy VSOP 1L","68.95","19.00","49.95","49.95"
"COGNAC/ARMAGNAC","050136","Jacques Cardin Apple Flavored VSOP Cognac 750ml","32.95","6.00","26.95","35.93"
"COGNAC/ARMAGNAC","048360","Kelt VSOP 750ml","56.95","4.00","52.95","70.60"
"COGNAC/ARMAGNAC","048656","Martell Cordon Blue 750ml","109.95","10.00","99.95","133.27"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","082706","California Butterscotch 750ml","10.95","1.00","9.95","13.27"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","072722","Christian Brothers Honey Liqueur 750ml","13.45","1.50","11.95","15.93"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","073496","Dekuyper Amaretto Signature 750ml","10.95","1.00","9.95","13.27"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","085526","Dekuyper Blue Curacao 750ml","10.95","1.00","9.95","13.27"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","073452","Dekuyper Pomegranate 750ml","10.95","1.00","9.95","13.27"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","086111","Dekuyper Triple Sec 1.75L","12.90","2.00","10.90","6.23"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","073702","Evan Williams Honey Reserve 750ml","13.95","2.00","11.95","15.93"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","074090","Godiva White Chocolate 750ml","29.95","2.00","27.95","37.27"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","080826","Ice 101 Peppermint 750ml","19.90","1.95","17.95","23.93"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","080456","Ryan's Cream 750ml","10.95","1.00","9.95","13.27"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","086888","Southern Comfort 1.75L","29.95","3.00","26.95","15.40"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","077074","Southern Comfort Hurricane RTP 1.75L","19.95","2.00","17.95","10.26"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","077076","Southern Comfort Sweet Tea RTP 1.75L","19.95","2.00","17.95","10.26"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","077542","Tarantula Strawberry 750ml","17.95","4.00","13.95","18.60"
"CORDIALS-LIQUEURS-SPECIALTIES (IMPORTED)","068022","Bailey's Caramel Irish Cream 750ml","25.95","1.30","24.65","32.87"
"CORDIALS-LIQUEURS-SPECIALTIES (IMPORTED)","068028","Bailey's Mint Chocolate Irish Cream 750ml","25.95","1.30","24.65","32.87"
"CORDIALS-LIQUEURS-SPECIALTIES (IMPORTED)","064356","Barenjager 750ml","29.95","2.00","27.95","37.27"
"CORDIALS-LIQUEURS-SPECIALTIES (IMPORTED)","064446","Berentzen Appel Liqueur 750ml","18.90","2.00","16.90","22.53"
"CORDIALS-LIQUEURS-SPECIALTIES (IMPORTED)","067426","Copa De Oro Coffee 750ml","9.90","1.00","8.90","11.87"
"CORDIALS-LIQUEURS-SPECIALTIES (IMPORTED)","069666","Dr. McGillicuddy Vanila 750ml","13.95","1.00","12.95","17.27"
"CORDIALS-LIQUEURS-SPECIALTIES (IMPORTED)","064960","Everglo Liqueur 750ml","24.90","3.00","21.90","29.20"
"CORDIALS-LIQUEURS-SPECIALTIES (IMPORTED)","065128","Grand Marnier Cordon Rouge 1.75L","87.90","17.95","69.95","39.97"
"CORDIALS-LIQUEURS-SPECIALTIES (IMPORTED)","065131","Grande Absente Absinthe 750ml","69.90","3.50","66.40","88.53"
"CORDIALS-LIQUEURS-SPECIALTIES (IMPORTED)","065195","Hpnotiq Liqueur 750ml","22.95","3.00","19.95","26.60"
"CORDIALS-LIQUEURS-SPECIALTIES (IMPORTED)","067556","Kamora Coffee 750ml","11.95","1.00","10.95","14.60"
"CORDIALS-LIQUEURS-SPECIALTIES (IMPORTED)","067586","Kapali Coffee 750ml","9.90","1.00","8.90","11.87"
"CORDIALS-LIQUEURS-SPECIALTIES (IMPORTED)","065536","Lucid Liqueur 750ml","59.95","5.00","54.95","73.27"
"CORDIALS-LIQUEURS-SPECIALTIES (IMPORTED)","066058","NV ABsinthe Verte By La Fee 750ml","24.90","2.00","22.90","30.53"
"CORDIALS-LIQUEURS-SPECIALTIES (IMPORTED)","064737","Patron Citronge Orange Liqueur 1L","31.95","3.00","28.95","28.95"
"CORDIALS-LIQUEURS-SPECIALTIES (IMPORTED)","064736","Patron Citronge Orange Liqueur 750ml","26.95","3.00","23.95","31.93"
"CORDIALS-LIQUEURS-SPECIALTIES (IMPORTED)","067760","Stirrings Espresso Liqueur 750ml","11.95","2.00","9.95","13.27"
"CORDIALS-LIQUEURS-SPECIALTIES (IMPORTED)","067192","X-Rated Fusion 750ml","27.90","2.95","24.95","33.27"
"GIN (DOMESTIC)","029410","Bluecoat Gin 750ml","26.95","2.00","24.95","33.27"
"GIN (DOMESTIC)","029488","Booth's London Dry 1.75L","22.95","3.05","19.90","11.37"
"GIN (IMPORTED)","028716","Pinnacle Gin 750ml","12.90","1.00","11.90","15.87"
"GIN (IMPORTED)","028886","Tanqueray No. 10 750ml","34.95","2.00","32.95","43.93"
"MIXERS (NON ALCOHOLIC)","997302","1800 Ultimate Margarita Mix - Tetra Pak 1L","6.95","2.00","4.95","4.95"
"MIXERS (NON ALCOHOLIC)","996000","Finest Call Grenadine 1L","4.25","0.50","3.75","3.75"
"MIXERS (NON ALCOHOLIC)","997153","Finest Call Lime Juice 1L","4.25","0.50","3.75","3.75"
"MIXERS (NON ALCOHOLIC)","996004","Finest Call Margarita 1L","4.25","0.50","3.75","3.75"
"MIXERS (NON ALCOHOLIC)","996003","Finest Call Sweet N' Sour 1L","4.25","0.50","3.75","3.75"
"MIXERS (NON ALCOHOLIC)","996167","Major Peter's Bloody Mary Mix 1L","4.25","0.50","3.75","3.75"
"MIXERS (NON ALCOHOLIC)","996163","Major Peter's Hot & Spicy Bloody Mary Mix 1L","4.25","0.50","3.75","3.75"
"MIXERS (NON ALCOHOLIC)","996061","Mr. & Mrs. T's Bloody Mary Mix 64oz","6.95","0.50","6.45","3.42"
"MIXERS (NON ALCOHOLIC)","996060","Mr. & Mrs. T's Bold & Spicy Bloody Mary 64oz","6.95","0.50","6.45","3.42"
"MIXERS (NON ALCOHOLIC)","996050","Mr. & Mrs. T's Margarita Mix 64oz","6.95","0.50","6.45","3.42"
"RUM (DOMESTIC)","043028","Admiral Nelson's Spiced Rum 1.75L","21.90","3.95","17.95","10.26"
"RUM (DOMESTIC)","046093","Cabana Bay Pineapple Coconut Rum 750ml","11.95","1.00","10.95","14.60"
"RUM (DOMESTIC)","043418","Captain Morgan Tattoo Black 750ml","19.95","2.05","17.90","23.87"
"RUM (DOMESTIC)","043219","Captain Morgan's Parrot Bay Orange 750ml","14.95","1.00","13.95","18.60"
"RUM (DOMESTIC)","043226","Captain Morgan's Parrot Bay Passion Fruit 750ml","14.95","1.00","13.95","18.60"
"RUM (DOMESTIC)","044350","Cherry Jack Rum 750ml","11.95","1.00","10.95","14.60"
"RUM (DOMESTIC)","044410","Coconut Jack 750ml","11.95","1.00","10.95","14.60"
"RUM (DOMESTIC)","044518","Cruzan Aged Light 1.75L","25.95","2.00","23.95","13.69"
"RUM (DOMESTIC)","044546","Cruzan Guava 750ml","13.95","1.00","12.95","17.27"
"RUM (DOMESTIC)","044456","Cruzan Raspberry 750ml","13.95","1.00","12.95","17.27"
"RUM (DOMESTIC)","043546","Don Q Cristal Rum 750ml","14.95","1.00","13.95","18.60"
"RUM (DOMESTIC)","043446","Don Q Gold 750ml","15.90","1.00","14.90","19.87"
"RUM (DOMESTIC)","043848","Ronrico White 1.75L","19.95","2.00","17.95","10.26"
"RUM (DOMESTIC)","043030","Trader Vic's Spiced Rum 1.75L","22.95","3.00","19.95","11.40"
"RUM (IMPORTED)","042936","10 Cane 750ml","29.95","4.00","25.95","34.60"
"RUM (IMPORTED)","042117","Appleton White Jamaica Rum 1L","17.95","1.00","16.95","16.95"
"RUM (IMPORTED)","042370","Bacardi 8 Rum 750ml","25.95","1.45","24.50","32.67"
"RUM (IMPORTED)","044266","British Navy Pusser's Rum 750ml","25.95","3.00","22.95","30.60"
"RUM (IMPORTED)","044341","Calypso Spiced Rum 1L","13.95","2.00","11.95","11.95"
"RUM (IMPORTED)","043415","Captain Morgan Lime Bite 750ml","20.95","1.05","19.90","26.53"
"RUM (IMPORTED)","043232","Captain Morgan Parrot Bay Key Lime 750ml","14.95","1.00","13.95","18.60"
"RUM (IMPORTED)","043410","Captain Morgan's Parrot Bay 750ml","14.95","1.00","13.95","18.60"
"RUM (IMPORTED)","043319","Captain Morgan's Parrot Bay Traveler 750ml","14.95","1.00","13.95","18.60"
"RUM (IMPORTED)","043318","Captian Morgan's Private Stock 1.75L","38.95","3.00","35.95","20.54"
"RUM (IMPORTED)","044436","Cruzan Banana 750ml","13.95","1.00","12.95","17.27"
"RUM (IMPORTED)","044476","Cruzan Coconut 750ml","13.95","1.00","12.95","17.27"
"RUM (IMPORTED)","044506","Cruzan Pineapple 750ml","13.95","1.00","12.95","17.27"
"RUM (IMPORTED)","042656","Flor De Cana Grand Reserve 7yr 750ml","24.90","1.95","22.95","30.60"
"RUM (IMPORTED)","042568","Gosling's Black Seal Rum 1.75L","33.90","2.00","31.90","18.23"
"RUM (IMPORTED)","042166","Myers's Dark Original 750ml","19.95","1.00","18.95","25.27"
"RUM (IMPORTED)","042744","Oronoco Platinum Rum 750ml","35.95","6.00","29.95","39.93"
"RUM (IMPORTED)","042777","Ron Zacapa Rum 750ml","44.95","5.00","39.95","53.27"
"SCOTCH WHISKY","004226","Ballantine's 750ml","19.95","2.00","17.95","23.93"
"SCOTCH WHISKY","006797","Bowman's Scotch 1L","11.95","1.00","10.95","10.95"
"SCOTCH WHISKY","004636","Bowmore Single Malt 12 yr 750ml","46.95","5.00","41.95","55.93"
"SCOTCH WHISKY","004718","Chivas Regal 1.75L","74.95","5.00","69.95","39.97"
"SCOTCH WHISKY","004798","Cutty Sark 1.75L","36.90","2.00","34.90","19.94"
"SCOTCH WHISKY","004852","Deanston 12yr 92 Proof 750ml","49.95","3.00","46.95","62.60"
"SCOTCH WHISKY","005007","Glenfiddich 12 Year 1L","54.90","2.95","51.95","51.95"
"SCOTCH WHISKY","005078","Glenmorangie Astar 750ml","69.90","3.95","65.95","87.93"
"SCOTCH WHISKY","005166","Glenrothes Select Reserve 750ml","44.95","5.00","39.95","53.27"
"SCOTCH WHISKY","008348","Inver House 1.75L","20.95","2.40","18.55","10.60"
"SCOTCH WHISKY","008376","J.W. Dant's Scotch 750ml","8.90","1.00","7.90","10.53"
"SCOTCH WHISKY","005445","Laphroaig Single Malt 750ml","54.90","4.95","49.95","66.60"
"SCOTCH WHISKY","005606","Mcclelland's Islay 750ml","26.95","3.00","23.95","31.93"
"SCOTCH WHISKY","006106","Speyburn Single Malt 750ml","25.95","6.00","19.95","26.60"
"SCOTCH WHISKY","004825","The Dalmore 12 YO 750ml","49.95","5.00","44.95","59.93"
"TEQUILA","087088","Antiguo Blanco 750ml","22.95","3.00","19.95","26.60"
"TEQUILA","087250","Cabo Wabo  Blanco 750ml","34.95","2.00","32.95","43.93"
"TEQUILA","089136","Cabo Wabo Anejo 750ml","44.95","3.00","41.95","55.93"
"TEQUILA","087380","Corazon Blanco Tequila 750ml","29.95","3.00","26.95","35.93"
"TEQUILA","089242","Corralejo Resposado 750ml","39.90","2.95","36.95","49.27"
"TEQUILA","089175","Don Julio Anejo 750ml","59.95","3.00","56.95","75.93"
"TEQUILA","089154","Don Julio Reposado 750ml","54.90","2.95","51.95","69.27"
"TEQUILA","089268","El Jimador Reposado 1.75L","44.95","5.00","39.95","22.83"
"TEQUILA","089079","Gran Centenario Azul Reposado 750ml","19.95","2.00","17.95","23.93"
"TEQUILA","003655","Herradura Blanco Silver Tequlia 750ml","42.90","4.95","37.95","50.60"
"TEQUILA","089212","Jose Cuervo Black Medallion 750ml","25.95","1.30","24.65","32.87"
"TEQUILA","089198","Jose Cuervo Especial Gold 1.75L","39.90","2.00","37.90","21.66"
"TEQUILA","087406","Jose Cuervo Platino 750ml","49.95","3.00","46.95","62.60"
"TEQUILA","088018","Lunazul Blanco Tequila 750ml","19.95","2.00","17.95","23.93"
"TEQUILA","089496","Margaritaville Gold Tequila 750ml","15.90","2.00","13.90","18.53"
"TEQUILA","088120","Milagro Select Barrel Reserve Silver Tequila 750ml","49.95","5.00","44.95","59.93"
"TEQUILA","089566","Monte Alban Mezcal 750ml","26.95","2.00","24.95","33.27"
"TEQUILA","088148","Montezuma Tequila White 1.75L","24.90","2.00","22.90","13.09"
"TEQUILA","088318","Pepe Lopez 1.75L","29.95","3.00","26.95","15.40"
"TEQUILA","089617","Sauza Anos 100 Reposado 750ml","19.95","2.00","17.95","23.93"
"TEQUILA","089796","Sauza Conmemorativo 750ml","24.90","1.95","22.95","30.60"
"TEQUILA","089786","Sauza Extra Gold 750ml","17.95","1.00","16.95","22.60"
"TEQUILA","088548","Sauza Hornitos Plata 750ml","24.90","2.00","22.90","30.53"
"TEQUILA","089838","Sauza Hornitos Reposado 1.75L","39.90","2.95","36.95","21.11"
"TEQUILA","088556","Sauza Silver Tequila 750ml","17.95","1.00","16.95","22.60"
"TEQUILA","088570","Sauza Tres Generaciones Reposado 750ml","39.90","4.00","35.90","47.87"
"TEQUILA","088680","Tierra's Blanco 750ml","29.95","2.00","27.95","37.27"
"TEQUILA","088796","Two Fingers - White 750ml","15.50","1.00","14.50","19.33"
"VODKA (DOMESTIC)","038169","360 Vodka 750ml","22.95","3.00","19.95","26.60"
"VODKA (DOMESTIC)","039175","Burnett's 100 Proof Vodka 1.75L","19.95","2.00","17.95","10.26"
"VODKA (DOMESTIC)","041312","Burnett's Coconut Vodka 1.75L","15.90","2.00","13.90","7.94"
"VODKA (DOMESTIC)","036108","Gilbey's Vodka 1.75L","16.95","2.00","14.95","8.54"
"VODKA (DOMESTIC)","036211","Grand Touring Vodka 750ml","19.95","5.00","14.95","19.93"
"VODKA (DOMESTIC)","036261","Hangar One Vodka 750ml","29.95","3.00","26.95","35.93"
"VODKA (DOMESTIC)","037586","Rain Organic Vodka 750ml","19.95","2.00","17.95","23.93"
"VODKA (DOMESTIC)","039868","Smirnoff 100 1.75L","29.95","2.05","27.90","15.94"
"VODKA (DOMESTIC)","037996","Smirnoff 80 750ml","14.95","1.00","13.95","18.60"
