"Description","Code","Brand","Retail Bottle Price","Discount Per Bottle","Sale Bottle Price","Price per Liter"
"STRAIGHT BOURBON WHISKEY","021236","1792 Ridgemont Reserve 750ml","31.95","2.00","29.95","39.93"
"STRAIGHT BOURBON WHISKEY","016538","Ancient Ancient Age 1.75L","24.90","2.00","22.90","13.09"
"STRAIGHT BOURBON WHISKEY","016580","Baker's 750ml","44.95","5.00","39.95","53.27"
"STRAIGHT BOURBON WHISKEY","016850","Blanton Single Barrel 750ml","51.90","3.00","48.90","65.20"
"STRAIGHT BOURBON WHISKEY","017766","Eagle Rare Single Brl Bourbon 10 Yr 750ml","26.95","2.00","24.95","33.27"
"STRAIGHT BOURBON WHISKEY","017836","Early Times Bourbon 354 750ml","14.95","2.00","12.95","17.27"
"STRAIGHT BOURBON WHISKEY","017916","Elijah Craig 750ml","24.90","1.50","23.40","31.20"
"STRAIGHT BOURBON WHISKEY","018098","Evan Williams 1783 1.75L","27.90","2.00","25.90","14.80"
"STRAIGHT BOURBON WHISKEY","018048","Evan Williams Green 1.75L","19.95","2.00","17.95","10.26"
"STRAIGHT BOURBON WHISKEY","018120","Evan Williams Single Barrel 750ml","26.95","2.00","24.95","33.27"
"STRAIGHT BOURBON WHISKEY","018276","Fighting Cock 750ml","17.70","1.00","16.70","22.27"
"STRAIGHT BOURBON WHISKEY","018348","Four Roses Small Batch Bourbon 750ml","32.95","5.00","27.95","37.27"
"STRAIGHT BOURBON WHISKEY","018568","Henry McKenna 1.75L","23.95","4.00","19.95","11.40"
"STRAIGHT BOURBON WHISKEY","019006","Jefferson Reserve 750ml","49.95","3.00","46.95","62.60"
"STRAIGHT BOURBON WHISKEY","019078","Jim Beam 7 Year 1.75L","39.90","3.00","36.90","21.09"
"STRAIGHT BOURBON WHISKEY","016708","Jim Beam's Choice 1.75L","34.95","2.00","32.95","18.83"
"STRAIGHT BOURBON WHISKEY","019638","Mattingly & Moore 1.75L","18.90","2.00","16.90","9.66"
"STRAIGHT BOURBON WHISKEY","027544","Red Stag 750ml","18.90","2.00","16.90","22.53"
"STRAIGHT BOURBON WHISKEY","021758","Virginia Gentleman 1.75L","24.90","2.00","22.90","13.09"
"STRAIGHT BOURBON WHISKEY","022118","Wild Turkey 80 1.75L","44.95","10.00","34.95","19.97"
"STRAIGHT BOURBON WHISKEY","022123","Wild Turkey 81 1.75L","44.95","5.00","39.95","22.83"
"TENNESSEE WHISKEY","026608","George Dickel #8 1.75L","36.90","2.00","34.90","19.94"
"BLENDED WHISKEY","027470","Bernheim Original Wheat Whiskey 750ml","24.90","3.00","21.90","29.20"
"BLENDED WHISKEY","024458","Kessler 1.75L","19.95","2.00","17.95","10.26"
"WHISKEY","027475","Bird Dog Blackberry Flav. Whiskey 750ml","19.95","2.00","17.95","23.93"
"WHISKEY","022175","Wild Turkey Russell Reserve 750ml","32.95","2.00","30.95","41.27"
"GRAPE BRANDY (DOMESTIC)","052316","Christian Brothers Brandy 750ml","11.95","1.45","10.50","14.00"
"GRAPE BRANDY (DOMESTIC)","053206","Paul Masson Grande Amber VSOP 750ml","14.40","1.00","13.40","17.87"
"GRAPE BRANDY (DOMESTIC)","052166","The Christian Brothers X.O. 750ml","15.90","1.95","13.95","18.60"
"APPLE BRANDY","053634","Carriage House Apple Brandy 750ml","22.95","3.00","19.95","26.60"
"BRANDY IMPORTED","050688","St. Remy VSOP 1.75L","29.95","2.00","27.95","15.97"
"CANADIAN WHISKY","064593","Canadian Club Dock 57 750ml","18.90","2.00","16.90","22.53"
"CANADIAN WHISKY","010846","Canadian Club Small Batch Classic 750ml","21.90","1.95","19.95","26.60"
"CANADIAN WHISKY","012308","Canadian Hunter 1.75L","18.90","2.00","16.90","9.66"
"CANADIAN WHISKY","011058","Canadian MacNaughton 1.75L","19.95","2.50","17.45","9.97"
"CANADIAN WHISKY","011930","Canadian Mist Black Diamond 750ml","14.95","2.00","12.95","17.27"
"CANADIAN WHISKY","013248","Harwood Canadian 1.75L","16.95","2.00","14.95","8.54"
"CANADIAN WHISKY","013638","Lord Calvert 1.75L","19.95","2.00","17.95","10.26"
"COCKTAILS (DOMESTIC)","057110","Burnett's Margarita Cocktail 1.75L","12.90","3.00","9.90","5.66"
"COCKTAILS (DOMESTIC)","057125","Chi Chi Gold Margarita 1.75L","12.90","2.00","10.90","6.23"
"COCKTAILS (DOMESTIC)","057122","Chi Chi's Mango Margarita 1.75L","12.90","2.00","10.90","6.23"
"COCKTAILS (DOMESTIC)","057170","Chi-Chi's Long Island Iced Tea 800ml","7.95","1.00","6.95","8.69"
"COCKTAILS (DOMESTIC)","057148","Chi-Chi's Margarita 1.75L","12.90","2.00","10.90","6.23"
"COCKTAILS (DOMESTIC)","057129","Chi-Chi's Mexican Mudslide 1.75L","12.90","2.00","10.90","6.23"
"COCKTAILS (DOMESTIC)","057174","Chi-Chi's Skinny Margarita 1.75L","12.90","2.00","10.90","6.23"
"COCKTAILS (DOMESTIC)","057173","Chi-Chi's Skinny Margarita 800ml","7.95","1.00","6.95","8.69"
"COCKTAILS (DOMESTIC)","057144","Chi-Chi's White Russian 1.75L","12.90","2.00","10.90","6.23"
"COCKTAILS (DOMESTIC)","058885","Jose Cuervo Authentic Lght Wildberry Margarita Pet 1.75L","19.95","2.00","17.95","10.26"
"COCKTAILS (DOMESTIC)","058838","Jose Cuervo Authentic Lime Margaritas PET 1.75L","19.95","2.00","17.95","10.26"
"COCKTAILS (DOMESTIC)","058860","Jose Cuervo Authentic Mango Margarita 1.75L","19.95","2.00","17.95","10.26"
"COCKTAILS (DOMESTIC)","058840","Jose Cuervo Authentic Marg Grapefruit Tangerine 1.75L","19.95","2.00","17.95","10.26"
"COCKTAILS (DOMESTIC)","058868","Jose Cuervo Authentic Straw Margaritas PET 1.75L","19.95","2.00","17.95","10.26"
"COCKTAILS (DOMESTIC)","058875","Jose Cuervo Golden Margarita 1.75L","23.95","2.00","21.95","12.54"
"COCKTAILS (DOMESTIC)","077078","Southern Comfort Lemonade RTP 1.75L","19.95","5.00","14.95","8.54"
"COCKTAILS (DOMESTIC)","063963","UV Pink Lemonade Cocktail 1.75L","14.95","2.00","12.95","7.40"
"COGNAC/ARMAGNAC","064795","Courvoisier Rose 750ml","29.95","2.00","27.95","37.27"
"COGNAC/ARMAGNAC","048108","Hennessy VS 1.75L","69.90","4.95","64.95","37.11"
"COGNAC/ARMAGNAC","050136","Jacques Cardin Apple Flavored VSOP Cognac 750ml","32.95","6.00","26.95","35.93"
"COGNAC/ARMAGNAC","048766","Meukow VS Cognac 750ml","26.95","2.05","24.90","33.20"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","073986","Amaretto Di Amore Classico 750ml","12.90","1.20","11.70","15.60"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","082706","California Butterscotch 750ml","10.95","1.00","9.95","13.27"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","072948","Catdaddy Carolina Moonshine 750ml","21.90","4.00","17.90","23.87"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","073496","Dekuyper Amaretto Signature 750ml","10.95","1.00","9.95","13.27"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","085526","Dekuyper Blue Curacao 750ml","10.95","1.00","9.95","13.27"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","082849","Dekuyper Peachtree 1.75L","19.95","2.00","17.95","10.26"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","073452","Dekuyper Pomegranate 750ml","10.95","1.00","9.95","13.27"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","086112","Dekuyper Triple Sec 1L","7.95","1.00","6.95","6.95"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","073721","Evan Williams Cinnamon Reserve 750ml","13.95","2.00","11.95","15.93"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","073702","Evan Williams Honey Reserve 750ml","13.95","2.00","11.95","15.93"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","003333","Evan Williams Honey Shotglass Mold 750ml","13.95","2.00","11.95","15.93"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","075876","Margaritaville Island Lime 750ml","15.90","2.00","13.90","18.53"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","086886","Southern Comfort 750ml","16.95","2.00","14.95","19.93"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","077074","Southern Comfort Hurricane RTP 1.75L","19.95","5.00","14.95","8.54"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","086885","Southern Comfort Pet 750ml","16.95","2.00","14.95","19.93"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","086787","Southern Host 1L","12.90","1.50","11.40","11.40"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","077482","Tarantula Azul 750ml","19.95","2.00","17.95","23.93"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","077488","Tortilla Gold 1.75L","19.95","2.00","17.95","10.26"
"CORDIALS-LIQUEURS-SPECIALTIES (IMPORTED)","064196","Amaretto Di Sabroso 750ml","8.95","1.20","7.75","10.33"
"CORDIALS-LIQUEURS-SPECIALTIES (IMPORTED)","064148","Aperol 750ml","25.95","2.00","23.95","31.93"
"CORDIALS-LIQUEURS-SPECIALTIES (IMPORTED)","064607","Cachaca 51 1L","19.95","1.95","18.00","18.00"
"CORDIALS-LIQUEURS-SPECIALTIES (IMPORTED)","067426","Copa De Oro Coffee 750ml","9.90","1.95","7.95","10.60"
"CORDIALS-LIQUEURS-SPECIALTIES (IMPORTED)","064138","Di Saronno Amaretto 1.75L","53.95","4.00","49.95","28.54"
"CORDIALS-LIQUEURS-SPECIALTIES (IMPORTED)","064960","Everglo Liqueur 750ml","24.90","3.00","21.90","29.20"
"CORDIALS-LIQUEURS-SPECIALTIES (IMPORTED)","065943","Meukow Vanilla Cognac 750ml","27.90","2.10","25.80","34.40"
"CORDIALS-LIQUEURS-SPECIALTIES (IMPORTED)","066052","Nuvo 750ml","29.95","2.00","27.95","37.27"
"CORDIALS-LIQUEURS-SPECIALTIES (IMPORTED)","066054","Nuvo Lemon Sorbet 750ml","29.95","2.00","27.95","37.27"
"CORDIALS-LIQUEURS-SPECIALTIES (IMPORTED)","066058","NV Absinthe Verte By La Fee 750ml","19.95","2.00","17.95","23.93"
"CORDIALS-LIQUEURS-SPECIALTIES (IMPORTED)","066160","Pitu Aguardente Cachaca 1L","19.95","2.00","17.95","17.95"
"GIN (DOMESTIC)","029568","Burnett's Gin 1.75L","17.95","2.00","15.95","9.11"
"GIN (IMPORTED)","028350","Broker's Gin 750ml","19.00","2.00","17.00","22.67"
"GIN (IMPORTED)","028406","Citadelle Gin 750ml","19.95","2.00","17.95","23.93"
"GIN (IMPORTED)","028716","Pinnacle Gin 750ml","12.90","1.00","11.90","15.87"
"IRISH WHISKEY","015778","Old Bushmills 1.75L","49.95","3.00","46.95","26.83"
"MIXERS (NON ALCOHOLIC)","996167","Major Peter's Bloody Mary Mix 1L","4.25","0.50","3.75","3.75"
"MIXERS (NON ALCOHOLIC)","997094","Malibu Pina Colada Mix 1.75L","9.95","1.00","8.95","5.11"
"MIXERS (NON ALCOHOLIC)","996033","Margaritaville Margarita 1.75L","8.45","0.50","7.95","4.54"
"MIXERS (NON ALCOHOLIC)","997213","Master Of Mixes Big Bucket Margarita Mix 96oz","7.45","0.50","6.95","2.45"
"MIXERS (NON ALCOHOLIC)","997187","Master Of Mixes Margarita 1.75L","6.95","0.50","6.45","3.69"
"MIXERS (NON ALCOHOLIC)","997306","Master Of Mixes Margarita Lite 1.75L","6.95","0.50","6.45","3.69"
"MIXERS (NON ALCOHOLIC)","997189","Master Of Mixes Strawberry Daiquiri 1.75L","6.95","0.50","6.45","3.69"
"MIXERS (NON ALCOHOLIC)","997331","Master Of Mixes Strawberry Daiquiri/Margarita Lite 1.75L","6.95","0.50","6.45","3.69"
"MIXERS (NON ALCOHOLIC)","997188","Master Of Mixes Sweet & Sour 1.75L","6.95","0.50","6.45","3.69"
"MIXERS (NON ALCOHOLIC)","996059","Mr. & Mrs. T's Bloody Mary 1L","4.45","0.50","3.95","3.95"
"MIXERS (NON ALCOHOLIC)","996058","Mr. & Mrs. T's Bold & Spicy Bloody Mary 1L","4.45","0.50","3.95","3.95"
"MIXERS (NON ALCOHOLIC)","996053","Mr. & Mrs. T's Mai Tai Cocktail Mix 1L","4.45","0.50","3.95","3.95"
"MIXERS (NON ALCOHOLIC)","996054","Mr. & Mrs. T's Margarita Cocktail Mix 1L","4.45","0.50","3.95","3.95"
"MIXERS (NON ALCOHOLIC)","996052","Mr. & Mrs. T's Sweet & Sour Cocktail Mix 1L","4.45","0.50","3.95","3.95"
"MIXERS (NON ALCOHOLIC)","997332","Q Ginger 748ml","6.95","0.50","6.45","8.62"
"MIXERS (NON ALCOHOLIC)","997299","Q Tonic 4 Pack 748ml","6.95","0.50","6.45","8.62"
"MIXERS (NON ALCOHOLIC)","997307","Q Tonic 750ml","5.95","0.50","5.45","7.27"
"MIXERS (NON ALCOHOLIC)","997318","Tres Agaves Agave Nectar 750ml","9.95","1.00","8.95","11.93"
"RUM (DOMESTIC)","043028","Admiral Nelson's Spiced Rum 1.75L","19.95","4.00","15.95","9.11"
"RUM (DOMESTIC)","044258","Blackheart Spiced Rum 750ml","14.95","2.00","12.95","17.27"
"RUM (DOMESTIC)","046093","Cabana Bay Pineapple Coconut Rum 750ml","11.95","1.00","10.95","14.60"
"RUM (DOMESTIC)","044350","Calico Jack Cherry Rum 750ml","11.95","2.00","9.95","13.27"
"RUM (DOMESTIC)","044410","Calico Jack Coconut Rum 750ml","11.95","2.00","9.95","13.27"
"RUM (DOMESTIC)","045995","Calico Jack Whipped Rum 750ml","11.95","2.00","9.95","13.27"
"RUM (DOMESTIC)","044486","Cruzan Aged Dark 750ml","14.95","1.00","13.95","18.60"
"RUM (DOMESTIC)","044518","Cruzan Aged Light 1.75L","25.95","2.00","23.95","13.69"
"RUM (DOMESTIC)","044546","Cruzan Guava 750ml","13.95","1.00","12.95","17.27"
"RUM (DOMESTIC)","044456","Cruzan Raspberry 750ml","13.95","1.00","12.95","17.27"
"RUM (DOMESTIC)","043461","Don Q Mojito Rum 750ml","15.90","1.00","14.90","19.87"
"RUM (DOMESTIC)","046515","Jose Marti Autentico Mojito 750ml","16.95","1.40","15.55","20.73"
"RUM (DOMESTIC)","043848","Ronrico White 1.75L","19.95","2.00","17.95","10.26"
"RUM (DOMESTIC)","043030","Trader Vic's Spiced Rum 1.75L","21.90","2.00","19.90","11.37"
"RUM (DOMESTIC)","046976","Whaler's Pineapple Paradise 750ml","11.95","2.00","9.95","13.27"
"RUM (IMPORTED)","042936","10 Cane 750ml","29.95","4.00","25.95","34.60"
"RUM (IMPORTED)","044280","Burnett's White Rum 1.75L","15.90","3.00","12.90","7.37"
"RUM (IMPORTED)","044341","Calypso Spiced Rum 1L","12.90","1.95","10.95","10.95"
"RUM (IMPORTED)","043244","Captain Morgan 100 Proof Original Spice 750ml","21.45","1.50","19.95","26.60"
"RUM (IMPORTED)","043316","Captian Morgan's Private Stock 750ml","26.95","1.35","25.60","34.13"
"RUM (IMPORTED)","042542","Cockspur Fine Rum 750ml","17.95","1.00","16.95","22.60"
"RUM (IMPORTED)","044436","Cruzan Banana 750ml","13.95","1.00","12.95","17.27"
"RUM (IMPORTED)","044476","Cruzan Coconut 750ml","13.95","1.00","12.95","17.27"
"RUM (IMPORTED)","044506","Cruzan Pineapple 750ml","13.95","1.00","12.95","17.27"
"RUM (IMPORTED)","042568","Gosling's Black Seal 1.75L","34.95","2.00","32.95","18.83"
"RUM (IMPORTED)","042666","Mount Gay Eclipse 750ml","19.95","2.00","17.95","23.93"
"RUM (IMPORTED)","001734","Mount Gay Eclipse W/ 2 Glasses 750ml","19.95","2.00","17.95","23.93"
"RUM (IMPORTED)","042686","Mount Gay Extra Old 750ml","39.90","3.00","36.90","49.20"
"RUM (IMPORTED)","042849","Plantation Grande Reserve 5 Yr. Old 750ml","21.90","2.00","19.90","26.53"
"RUM (IMPORTED)","042776","Rhum Barbancourt Estate Reserve 15 Yr 750ml","41.95","4.00","37.95","50.60"
"RUM (IMPORTED)","043002","Whaler's Killer Coconut Rum 750ml","11.95","2.00","9.95","13.27"
"RUM (IMPORTED)","043020","Whaler's Vanille Rum 750ml","11.95","2.00","9.95","13.27"
"SCOTCH WHISKY","004798","Cutty Sark 1.75L","36.90","2.00","34.90","19.94"
"SCOTCH WHISKY","004846","Dalwhinnie Single Malt 750ml","63.90","4.00","59.90","79.87"
"SCOTCH WHISKY","005078","Glenmorangie Astar 750ml","69.90","4.00","65.90","87.87"
"SCOTCH WHISKY","005130","Glenmorangie The Original 10 Yr 1.75L","79.95","10.00","69.95","39.97"
"SCOTCH WHISKY","005250","Highland Park 18 Yr. Single Malt 750ml","104.90","5.95","98.95","131.93"
"SCOTCH WHISKY","005326","Johnnie Walker Black 750ml","39.90","2.95","36.95","49.27"
"SCOTCH WHISKY","005445","Laphroaig Single Malt 750ml","54.90","4.95","49.95","66.60"
"SCOTCH WHISKY","005606","Mcclelland's Islay 750ml","26.95","3.00","23.95","31.93"
"SCOTCH WHISKY","006108","Speyburn Single Malt 1.75L","53.95","4.00","49.95","28.54"
"SCOTCH WHISKY","004938","The Famous Grouse 1.75L","45.90","3.00","42.90","24.51"
"SCOTCH WHISKY","005482","The Macallan 12yr Scotch 1.75L","109.90","6.00","103.90","59.37"
"SPECIALTY BOTTLES   (DOMESTIC)","001814","Blackheart W/Tumber 750ml","14.95","2.00","12.95","17.27"
"SPECIALTY BOTTLES (IMPORTED)","003640","Lunazul Blanco W/Shot Glasses 750ml","19.95","2.00","17.95","23.93"
"TEQUILA","087250","Cabo Wabo  Blanco 750ml","34.95","2.00","32.95","43.93"
"TEQUILA","089136","Cabo Wabo Anejo 750ml","44.95","3.00","41.95","55.93"
"TEQUILA","087380","Corazon Blanco Tequila 750ml","29.95","4.00","25.95","34.60"
"TEQUILA","089215","Cuervo Tradicional Tequila 750ml","25.90","1.50","24.40","32.53"
"TEQUILA","089175","Don Julio Anejo 750ml","60.90","3.05","57.85","77.13"
"TEQUILA","087485","Don Julio Blanco 750ml","50.95","3.05","47.90","63.87"
"TEQUILA","087516","El Charro Tequila Silver 750ml","18.90","1.00","17.90","23.87"
"TEQUILA","089286","Espolon Reposado 750ml","25.95","2.00","23.95","31.93"
"TEQUILA","089079","Gran Centenario Azul Reposado 750ml","19.95","2.00","17.95","23.93"
"TEQUILA","003656","Herradura Anejo Tequila 750ml","49.95","5.00","44.95","59.93"
"TEQUILA","003657","Herradura Reposado Tequila 750ml","44.95","5.00","39.95","53.27"
"TEQUILA","087408","Jose Cuervo Expecial Silver 750ml","19.95","1.00","18.95","25.27"
"TEQUILA","089475","Lunazul Anejo 750ml","21.90","2.00","19.90","26.53"
"TEQUILA","088018","Lunazul Blanco Tequila 750ml","19.95","2.00","17.95","23.93"
"TEQUILA","089496","Margaritaville Gold Tequila 750ml","15.90","2.00","13.90","18.53"
"TEQUILA","088036","Margaritaville Silver Tequila 750ml","15.90","2.00","13.90","18.53"
"TEQUILA","089566","Monte Alban Mezcal 750ml","26.95","2.00","24.95","33.27"
"TEQUILA","088148","Montezuma Tequila White 1.75L","24.90","2.00","22.90","13.09"
"TEQUILA","088536","Sauza Blue Silver 750ml","19.95","2.00","17.95","23.93"
"TEQUILA","089796","Sauza Conmemorativo 750ml","24.90","1.95","22.95","30.60"
"TEQUILA","088548","Sauza Hornitos Plata 750ml","24.90","2.00","22.90","30.53"
"TEQUILA","089836","Sauza Hornitos Reposado 750ml","24.90","2.00","22.90","30.53"
"TEQUILA","088558","Sauza Silver 1.75L","34.95","2.00","32.95","18.83"
"TEQUILA","089889","Tres Agaves Reposado 750ml","37.95","3.00","34.95","46.60"
"TEQUILA","088796","Two Fingers - White 750ml","14.95","1.00","13.95","18.60"
"VODKA (DOMESTIC)","038169","360 Vodka 750ml","15.90","1.95","13.95","18.60"
"VODKA (DOMESTIC)","039175","Burnett's 100 Proof Vodka 1.75L","19.95","2.00","17.95","10.26"
"VODKA (DOMESTIC)","041312","Burnett's Coconut Vodka 1.75L","15.90","2.00","13.90","7.94"
"VODKA (DOMESTIC)","035418","Burnett's Vodka 1.75L","15.90","2.00","13.90","7.94"
"VODKA (DOMESTIC)","035785","Cupcake Vodka Original 750ml","15.90","2.00","13.90","18.53"
"VODKA (DOMESTIC)","035734","Deep Run Vodka 750ml","27.90","2.95","24.95","33.27"
"VODKA (DOMESTIC)","035800","Dirty Karma Organic Vodka 750ml","18.90","1.00","17.90","23.87"
"VODKA (DOMESTIC)","036108","Gilbey's Vodka 1.75L","16.95","2.00","14.95","8.54"
