"Description","Code","Brand","Retail Bottle Price","Discount Per Bottle","Sale Bottle Price","Price per Liter"
"STRAIGHT BOURBON WHISKEY","016676","Basil Hayden's 750ml","41.95","3.00","38.95","51.93"
"STRAIGHT BOURBON WHISKEY","021482","Benchmark Bourbon #8 1.75L","19.95","2.00","17.95","10.26"
"STRAIGHT BOURBON WHISKEY","016906","Booker's 750ml","59.95","5.00","54.95","73.27"
"STRAIGHT BOURBON WHISKEY","017766","Eagle Rare Single Brl Bourbon 10 Yr 750ml","27.90","1.95","25.95","34.60"
"STRAIGHT BOURBON WHISKEY","017916","Elijah Craig 750ml","25.95","1.50","24.45","32.60"
"STRAIGHT BOURBON WHISKEY","017946","Elmer T Lee Bourbon 750ml","28.95","4.00","24.95","33.27"
"STRAIGHT BOURBON WHISKEY","018352","Four Roses Bourbon 750ml","18.90","3.00","15.90","21.20"
"STRAIGHT BOURBON WHISKEY","018350","Four Roses Single Barrel Bourbon 750ml","39.90","3.00","36.90","49.20"
"STRAIGHT BOURBON WHISKEY","018568","Henry McKenna 1.75L","23.95","4.00","19.95","11.40"
"STRAIGHT BOURBON WHISKEY","019076","Jim Beam 7 Year 750ml","19.95","2.00","17.95","23.93"
"STRAIGHT BOURBON WHISKEY","019028","Jim Beam Black 1.75L","49.95","5.00","44.95","25.69"
"STRAIGHT BOURBON WHISKEY","016708","Jim Beam's Choice 1.75L","35.95","2.00","33.95","19.40"
"STRAIGHT BOURBON WHISKEY","017022","John J Bowman 750ml","49.95","3.00","46.95","62.60"
"STRAIGHT BOURBON WHISKEY","019338","Kentucky Supreme 1.75L","17.95","2.00","15.95","9.11"
"STRAIGHT BOURBON WHISKEY","019235","Knob Creek Single Barrel Reserve 750ml","44.95","4.00","40.95","54.60"
"STRAIGHT BOURBON WHISKEY","018856","Larceny 750ml","27.90","3.00","24.90","33.20"
"STRAIGHT BOURBON WHISKEY","020368","Old Forester 1.75L","32.95","3.00","29.95","17.11"
"STRAIGHT BOURBON WHISKEY","027544","Red Stag 750ml","18.90","2.00","16.90","22.53"
"STRAIGHT BOURBON WHISKEY","027577","Red Stag Honey Tea 750ml","18.90","2.00","16.90","22.53"
"STRAIGHT BOURBON WHISKEY","027582","Red Stag Spiced with Cinnamon 750ml","18.90","2.00","16.90","22.53"
"STRAIGHT BOURBON WHISKEY","021348","Sam Clay 1.75L","18.50","2.00","16.50","9.43"
"BOTTLED IN BOND WHISKEY","016416","Old Grand Dad 100 750ml","19.95","2.00","17.95","23.93"
"STRAIGHT RYE WHISKEY","027048","Knob Creek Rye 750ml","41.95","4.00","37.95","50.60"
"MOONSHINE","027326","Georgia Moon 750ml","12.90","1.00","11.90","15.87"
"BLENDED WHISKEY","023708","Fleischmann's Preferred 1.75L","15.90","2.40","13.50","7.71"
"BLENDED WHISKEY","027500","Kopper Kettle Whiskey 750ml","29.95","4.00","25.95","34.60"
"WHISKEY","073715","Evan Williams Cherry Reserve 750ml","13.95","2.00","11.95","15.93"
"WHISKEY","021376","Sam Houston 750ml","27.90","2.00","25.90","34.53"
"GRAPE BRANDY (DOMESTIC)","052136","Christian Brothers Frost 750ml","12.45","1.50","10.95","14.60"
"GRAPE BRANDY (DOMESTIC)","052186","Christian Brothers Grand Reserve 750ml","13.45","1.50","11.95","15.93"
"GRAPE BRANDY (DOMESTIC)","052376","Coronet V.S.Q. 750 750ml","11.95","1.00","10.95","14.60"
"GRAPE BRANDY (DOMESTIC)","053216","Paul Masson Grande Amber VS 750ml","12.45","1.00","11.45","15.27"
"GRAPE BRANDY (DOMESTIC)","053220","Paul Masson Grande Amber VS Pet 750ml","12.45","1.00","11.45","15.27"
"APPLE BRANDY","053634","Carriage House Apple Brandy 750ml","22.95","3.00","19.95","26.60"
"CANADIAN WHISKY","010632","Canadain Club Reserve Triple Aged 750ml","18.90","2.00","16.90","22.53"
"CANADIAN WHISKY","064593","Canadian Club Dock 57 750ml","18.90","2.00","16.90","22.53"
"CANADIAN WHISKY","012888","Rich & Rare 1.75L","16.95","2.00","14.95","8.54"
"CANADIAN WHISKY","015248","Windsor 1.75L","19.95","2.00","17.95","10.26"
"COCKTAILS (DOMESTIC)","057049","Barton Long Island Ice Tea 1.75L","16.95","2.50","14.45","8.26"
"COGNAC/ARMAGNAC","047546","Ansac V. S. 750ml","21.90","1.95","19.95","26.60"
"COGNAC/ARMAGNAC","047156","Cles Des Ducs V. S. O. P. - Armagnac 750ml","33.90","2.00","31.90","42.53"
"COGNAC/ARMAGNAC","047805","Courvoisier C 750ml","39.90","2.00","37.90","50.53"
"COGNAC/ARMAGNAC","047776","Courvoisier VSOP 750ml","40.95","2.05","38.90","51.87"
"COGNAC/ARMAGNAC","049376","Salignac V. S. 750ml","19.95","1.00","18.95","25.27"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","073986","Amaretto Di Amore Classico 750ml","12.90","1.20","11.70","15.60"
