"Description","Code","Brand","Retail Bottle Price","Discount Per Bottle","Sale Bottle Price","Price per Liter"
"STRAIGHT BOURBON WHISKEY","016518","Ancient Age 1.75L","21.90","2.00","19.90","11.37"
"STRAIGHT BOURBON WHISKEY","016676","Basil Hayden's 750ml","39.90","2.95","36.95","49.27"
"STRAIGHT BOURBON WHISKEY","021482","Benchmark Bourbon #8 1.75L","19.95","2.00","17.95","10.26"
"STRAIGHT BOURBON WHISKEY","017088","Bulleit Bourbon 1.75L","54.90","2.95","51.95","29.69"
"STRAIGHT BOURBON WHISKEY","017946","Elmer T Lee Bourbon 750ml","28.95","4.00","24.95","33.27"
"STRAIGHT BOURBON WHISKEY","017958","Evan Williams Black 1.75L","24.90","2.00","22.90","13.09"
"STRAIGHT BOURBON WHISKEY","018352","Four Roses Bourbon 750ml","18.90","3.00","15.90","21.20"
"STRAIGHT BOURBON WHISKEY","019009","Jefferson's KY Straight Bourbon 750ml","29.95","2.00","27.95","37.27"
"STRAIGHT BOURBON WHISKEY","019068","Jim Beam 1.75L","29.95","2.00","27.95","15.97"
"STRAIGHT BOURBON WHISKEY","019078","Jim Beam 7 Year 1.75L","39.90","3.00","36.90","21.09"
"STRAIGHT BOURBON WHISKEY","019028","Jim Beam Black 1.75L","47.95","5.00","42.95","24.54"
"STRAIGHT BOURBON WHISKEY","019112","Jim Beam Devil's Cut 750ml","25.95","2.00","23.95","31.93"
"STRAIGHT BOURBON WHISKEY","020908","Old 1889 Brand 1.75L","17.70","2.00","15.70","8.97"
"STRAIGHT BOURBON WHISKEY","020366","Old Forester 750ml","15.90","1.00","14.90","19.87"
"STRAIGHT BOURBON WHISKEY","027544","Red Stag 750ml","18.90","2.00","16.90","22.53"
"TENNESSEE WHISKEY","026658","George Dickel #12 1.75L","41.95","2.10","39.85","22.77"
"TENNESSEE WHISKEY","026828","Jack Daniel's 7 Black 1.75L","47.95","5.00","42.95","24.54"
"TENNESSEE WHISKEY","026906","Jack Daniel's Single Barrel 750ml","45.90","3.95","41.95","55.93"
"CORN WHISKEY","076032","Junior Johnson's Midnight Moon 750ml","21.90","3.00","18.90","25.20"
"STRAIGHT RYE WHISKEY","027025","Bulleit Rye 750ml","29.95","1.50","28.45","37.93"
"STRAIGHT RYE WHISKEY","027116","Wild Turkey 101 Rye 750ml","24.90","1.95","22.95","30.60"
"BLENDED WHISKEY","023708","Fleischmann's Preferred 1.75L","15.90","2.40","13.50","7.71"
"BLENDED WHISKEY","077256","Revel Stoke Spiced Whisky 750ml","16.95","2.00","14.95","19.93"
"WHISKEY","073715","Evan Williams Cherry Reserve 750ml","13.95","2.00","11.95","15.93"
"GRAPE BRANDY (DOMESTIC)","052136","Christian Brothers Frost 750ml","11.95","1.45","10.50","14.00"
"GRAPE BRANDY (DOMESTIC)","052186","Christian Brothers Grand Reserve 750ml","12.90","1.40","11.50","15.33"
"GRAPE BRANDY (DOMESTIC)","052376","Coronet V.S.Q. 750 750ml","11.70","1.00","10.70","14.27"
"GRAPE BRANDY (DOMESTIC)","052806","Korbel Brandy 750ml","11.95","1.00","10.95","14.60"
"GRAPE BRANDY (DOMESTIC)","053216","Paul Masson Grande Amber VS 750ml","13.45","1.50","11.95","15.93"
"GRAPE BRANDY (DOMESTIC)","053220","Paul Masson Grande Amber VS Pet 750ml","13.45","1.50","11.95","15.93"
"BRANDY IMPORTED","050686","St. Remy VSOP 750ml","13.50","1.00","12.50","16.67"
"CANADIAN WHISKY","011298","Crown Royal 1.75L","56.95","3.00","53.95","30.83"
"CANADIAN WHISKY","012888","Rich & Rare 1.75L","16.95","2.00","14.95","8.54"
"CANADIAN WHISKY","015248","Windsor 1.75L","19.95","2.00","17.95","10.26"
"COCKTAILS (DOMESTIC)","057049","Barton Long Island Ice Tea 1.75L","16.95","2.50","14.45","8.26"
"COCKTAILS (DOMESTIC)","057110","Burnett's Margarita Cocktail 1.75L","12.90","3.00","9.90","5.66"
"COCKTAILS (DOMESTIC)","058811","Captain Morgan Parrot Bay Mango Mojito 1.75L","21.90","2.00","19.90","11.37"
"COCKTAILS (DOMESTIC)","057125","Chi Chi Gold Margarita 1.75L","12.90","2.00","10.90","6.23"
"COCKTAILS (DOMESTIC)","057122","Chi Chi's Mango Margarita 1.75L","12.90","2.00","10.90","6.23"
"COCKTAILS (DOMESTIC)","057148","Chi-Chi's Margarita 1.75L","12.90","2.00","10.90","6.23"
"COCKTAILS (DOMESTIC)","057144","Chi-Chi's White Russian 1.75L","12.90","2.00","10.90","6.23"
"COCKTAILS (DOMESTIC)","059522","Firefly Pink Lemonade 1.75L","19.95","2.00","17.95","10.26"
"COCKTAILS (DOMESTIC)","059520","Firefly Pink Lemonade 800ml","9.90","1.00","8.90","11.12"
"COCKTAILS (DOMESTIC)","059529","Firefly Southern Lemonade Vodka 1.75L","19.95","2.00","17.95","10.26"
"COCKTAILS (DOMESTIC)","059533","Firefly Sweet Tea Vodka And Lemonade 1.75L","19.95","2.00","17.95","10.26"
"COCKTAILS (DOMESTIC)","059531","Firefly Sweet Tea Vodka And Lemonade 800ml","9.90","1.00","8.90","11.12"
"COCKTAILS (DOMESTIC)","059620","Gosling's Rum Swizzle 1.75L","19.95","2.00","17.95","10.26"
"COCKTAILS (DOMESTIC)","063528","Salvador's Margarita 1.75L","10.95","2.00","8.95","5.11"
"COCKTAILS (DOMESTIC)","077265","Tooter Lingo Red Diculous on the Beach 750ml","19.95","1.00","18.95","25.27"
"COCKTAILS (DOMESTIC)","077825","Tooter Lingo Yellin' Melon Balls 750ml","19.95","1.00","18.95","25.27"
"COCKTAILS (DOMESTIC)","077546","Tooter Ultimate Apple-tini 750ml","19.95","1.00","18.95","25.27"
"COCKTAILS (DOMESTIC)","063959","UV Blue Raspberry Lemonade Cocktail 1.75L","16.95","2.00","14.95","8.54"
"COCKTAILS (IMPORTED)","059154","1800 RTD 1.75L","23.95","2.00","21.95","12.54"
"COCKTAILS (IMPORTED)","059153","1800 RTD Pomegranate 1.75L","23.95","2.00","21.95","12.54"
"COGNAC/ARMAGNAC","047506","Alize VS 750ml","29.95","5.00","24.95","33.27"
"COGNAC/ARMAGNAC","047776","Courvoisier VSOP 750ml","39.90","2.00","37.90","50.53"
"COGNAC/ARMAGNAC","048276","Jacques Cardin VSOP Cognac 750ml","32.95","6.00","26.95","35.93"
"COGNAC/ARMAGNAC","049086","Remy Martin 1738 Accord Royal 750ml","49.95","3.00","46.95","62.60"
"COGNAC/ARMAGNAC","049178","Remy Martin V.S. Grand Cru 1.75L","72.90","5.00","67.90","38.80"
"COGNAC/ARMAGNAC","049188","Remy Martin VSOP 1.75L","99.90","9.95","89.95","51.40"
"COGNAC/ARMAGNAC","049376","Salignac V. S. 750ml","19.95","1.00","18.95","25.27"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","084159","99 Apples 750ml","18.90","1.95","16.95","22.60"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","084170","99 Bananas 750ml","18.90","1.95","16.95","22.60"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","084166","99 Blackberries 750ml","18.90","1.95","16.95","22.60"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","084141","99 Peaches 750ml","18.90","1.95","16.95","22.60"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","082212","Aristrocrat Peach Schnapps 1.75L","13.95","2.00","11.95","6.83"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","082207","Aristrocrat Tangy Sour Apple Schnapps 1L","7.50","1.00","6.50","6.50"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","072948","Catdaddy Carolina Moonshine 750ml","21.90","3.00","18.90","25.20"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","072956","Chateau Monet Raspberry 750ml","16.95","1.00","15.95","21.27"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","073526","DeKuyper Melon 750ml","10.95","1.00","9.95","13.27"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","073456","Dekuyper Razzmatazz 750ml","10.95","1.00","9.95","13.27"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","086111","Dekuyper Triple Sec 1.75L","12.90","2.00","10.90","6.23"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","074086","Godiva 750ml","29.95","2.00","27.95","37.27"
