"Description","Code","Brand","Retail Bottle Price","Discount Per Bottle","Sale Bottle Price","Price per Liter"
"STRAIGHT BOURBON WHISKEY","021236","1792 Ridgemont Reserve 750ml","31.95","2.00","29.95","39.93"
"STRAIGHT BOURBON WHISKEY","016580","Baker's 750ml","44.95","5.00","39.95","53.27"
"STRAIGHT BOURBON WHISKEY","016850","Blanton Single Barrel 750ml","51.90","3.00","48.90","65.20"
"STRAIGHT BOURBON WHISKEY","017017","Bowman's Bourbon 1L","9.90","1.00","8.90","8.90"
"STRAIGHT BOURBON WHISKEY","017516","Corner Creek Reserve Bourbon Whiskey 750ml","27.90","3.00","24.90","33.20"
"STRAIGHT BOURBON WHISKEY","017836","Early Times Bourbon 354 750ml","14.95","2.00","12.95","17.27"
"STRAIGHT BOURBON WHISKEY","017920","Elijah Craig 18 Yr 750ml","39.90","3.00","36.90","49.20"
"STRAIGHT BOURBON WHISKEY","017916","Elijah Craig 750ml","23.95","1.50","22.45","29.93"
"STRAIGHT BOURBON WHISKEY","018098","Evan Williams 1783 1.75L","26.95","2.00","24.95","14.26"
"STRAIGHT BOURBON WHISKEY","018048","Evan Williams Green 1.75L","19.95","2.00","17.95","10.26"
"STRAIGHT BOURBON WHISKEY","018120","Evan Williams Single Barrel 750ml","25.95","2.00","23.95","31.93"
"STRAIGHT BOURBON WHISKEY","018276","Fighting Cock 750ml","17.70","1.00","16.70","22.27"
"STRAIGHT BOURBON WHISKEY","018348","Four Roses Small Batch Bourbon 750ml","32.95","5.00","27.95","37.27"
"STRAIGHT BOURBON WHISKEY","018568","Henry McKenna 1.75L","23.95","4.00","19.95","11.40"
"STRAIGHT BOURBON WHISKEY","018928","J.T.S. Brown 1.75L","17.70","2.00","15.70","8.97"
"STRAIGHT BOURBON WHISKEY","019006","Jefferson Reserve 750ml","49.95","3.00","46.95","62.60"
"STRAIGHT BOURBON WHISKEY","019076","Jim Beam 7 Year 750ml","19.95","2.00","17.95","23.93"
"STRAIGHT BOURBON WHISKEY","016708","Jim Beam's Choice 1.75L","34.95","2.00","32.95","18.83"
"STRAIGHT BOURBON WHISKEY","019338","Kentucky Supreme 1.75L","18.90","2.00","16.90","9.66"
"STRAIGHT BOURBON WHISKEY","019235","Knob Creek Single Barrel Reserve 750ml","43.95","4.00","39.95","53.27"
"STRAIGHT BOURBON WHISKEY","019476","Maker's Mark 750ml","28.95","2.00","26.95","35.93"
"STRAIGHT BOURBON WHISKEY","020448","Old Grand Dad 86 1.75L","34.95","3.00","31.95","18.26"
"STRAIGHT BOURBON WHISKEY","022158","Wild Turkey 101 1.75L","49.95","4.00","45.95","26.26"
"STRAIGHT BOURBON WHISKEY","022205","Wild Turkey Rare Breed 750ml","38.95","3.00","35.95","47.93"
