"Description","Code","Brand","Retail Bottle Price","Discount Per Bottle","Sale Bottle Price","Price per Liter"
"STRAIGHT BOURBON WHISKEY","016518","Ancient Age 1.75L","22.95","2.00","20.95","11.97"
"STRAIGHT BOURBON WHISKEY","016676","Basil Hayden's 750ml","41.95","3.00","38.95","51.93"
"STRAIGHT BOURBON WHISKEY","021482","Benchmark Bourbon #8 1.75L","19.95","2.00","17.95","10.26"
"STRAIGHT BOURBON WHISKEY","017020","Bowman Brothers 750ml","29.95","2.00","27.95","37.27"
"STRAIGHT BOURBON WHISKEY","017766","Eagle Rare Single Brl Bourbon 10 Yr 750ml","27.90","1.95","25.95","34.60"
"STRAIGHT BOURBON WHISKEY","017916","Elijah Craig 750ml","25.95","1.50","24.45","32.60"
"STRAIGHT BOURBON WHISKEY","017946","Elmer T Lee Bourbon 750ml","28.95","4.00","24.95","33.27"
"STRAIGHT BOURBON WHISKEY","017958","Evan Williams Black 1.75L","25.95","2.00","23.95","13.69"
"STRAIGHT BOURBON WHISKEY","018120","Evan Williams Single Barrel 750ml","27.90","2.00","25.90","34.53"
"STRAIGHT BOURBON WHISKEY","018352","Four Roses Bourbon 750ml","18.90","3.00","15.90","21.20"
"STRAIGHT BOURBON WHISKEY","018350","Four Roses Single Barrel Bourbon 750ml","39.90","3.00","36.90","49.20"
"STRAIGHT BOURBON WHISKEY","019009","Jefferson's KY Straight Bourbon 750ml","29.95","2.00","27.95","37.27"
"STRAIGHT BOURBON WHISKEY","019068","Jim Beam 1.75L","30.90","2.00","28.90","16.51"
"STRAIGHT BOURBON WHISKEY","019078","Jim Beam 7 Year 1.75L","39.90","3.00","36.90","21.09"
"STRAIGHT BOURBON WHISKEY","019028","Jim Beam Black 1.75L","49.95","5.00","44.95","25.69"
"STRAIGHT BOURBON WHISKEY","019338","Kentucky Supreme 1.75L","17.95","2.00","15.95","9.11"
"STRAIGHT BOURBON WHISKEY","019235","Knob Creek Single Barrel Reserve 750ml","44.95","4.00","40.95","54.60"
"STRAIGHT BOURBON WHISKEY","018856","Larceny Bourbon 750ml","27.90","3.00","24.90","33.20"
"STRAIGHT BOURBON WHISKEY","019476","Maker's Mark 750ml","29.95","2.00","27.95","37.27"
"STRAIGHT BOURBON WHISKEY","020908","Old 1889 Brand 1.75L","17.95","2.00","15.95","9.11"
"STRAIGHT BOURBON WHISKEY","020368","Old Forester 1.75L","32.95","3.00","29.95","17.11"
"STRAIGHT BOURBON WHISKEY","020448","Old Grand Dad 86 1.75L","34.95","3.00","31.95","18.26"
"STRAIGHT BOURBON WHISKEY","020988","Olde Bourbon 1.75L","17.95","2.00","15.95","9.11"
"STRAIGHT BOURBON WHISKEY","027544","Red Stag 750ml","18.90","2.00","16.90","22.53"
"STRAIGHT BOURBON WHISKEY","027577","Red Stag Honey Tea 750ml","18.90","2.00","16.90","22.53"
"STRAIGHT BOURBON WHISKEY","027582","Red Stag Spiced with Cinnamon 750ml","18.90","2.00","16.90","22.53"
"STRAIGHT BOURBON WHISKEY","021348","Sam Clay 1.75L","18.50","2.00","16.50","9.43"
"STRAIGHT BOURBON WHISKEY","021758","Virginia Gentleman 1.75L","24.90","2.00","22.90","13.09"
"STRAIGHT BOURBON WHISKEY","022158","Wild Turkey 101 1.75L","49.95","4.00","45.95","26.26"
"STRAIGHT BOURBON WHISKEY","022156","Wild Turkey 101 750ml","24.90","1.95","22.95","30.60"
"STRAIGHT BOURBON WHISKEY","022123","Wild Turkey 81 1.75L","44.95","3.00","41.95","23.97"
"STRAIGHT BOURBON WHISKEY","022166","Wild Turkey Bourbon PET 750ml","24.90","1.95","22.95","30.60"
"STRAIGHT BOURBON WHISKEY","022205","Wild Turkey Rare Breed 750ml","38.95","3.00","35.95","47.93"
"STRAIGHT BOURBON WHISKEY","022216","Woodford Reserve 750ml","34.95","3.00","31.95","42.60"
"TENNESSEE WHISKEY","026589","Gentleman Jack 1.75L","61.95","6.00","55.95","31.97"
"TENNESSEE WHISKEY","026658","George Dickel #12 1.75L","41.95","3.00","38.95","22.26"
"TENNESSEE WHISKEY","026907","Jack Daniel's Single Barrel 1L","56.95","5.00","51.95","51.95"
"TENNESSEE WHISKEY","026906","Jack Daniel's Single Barrel 750ml","47.95","5.00","42.95","57.27"
"BOTTLED IN BOND WHISKEY","016416","Old Grand Dad 100 750ml","19.95","2.00","17.95","23.93"
