"Description","Code","Brand","Retail Bottle Price","Discount Per Bottle","Sale Bottle Price","Price per Liter"
"STRAIGHT BOURBON WHISKEY","016518","Ancient Age 1.75L","22.95","2.00","20.95","11.97"
"STRAIGHT BOURBON WHISKEY","016538","Ancient Ancient Age 1.75L","25.95","2.00","23.95","13.69"
"STRAIGHT BOURBON WHISKEY","017088","Bulleit Bourbon 1.75L","56.95","3.00","53.95","30.83"
"STRAIGHT BOURBON WHISKEY","027454","Cinerator Hot Cinnamon Fla. Whiskey 750ml","15.90","2.95","12.95","17.27"
"STRAIGHT BOURBON WHISKEY","017946","Elmer T Lee Bourbon 750ml","31.95","2.00","29.95","39.93"
"STRAIGHT BOURBON WHISKEY","017958","Evan Williams Black 1.75L","25.95","2.00","23.95","13.69"
"STRAIGHT BOURBON WHISKEY","018048","Evan Williams Green 1.75L","20.50","2.00","18.50","10.57"
"STRAIGHT BOURBON WHISKEY","018120","Evan Williams Single Barrel 750ml","27.90","2.00","25.90","34.53"
"STRAIGHT BOURBON WHISKEY","016096","Evan Williams White 750ml","13.50","1.00","12.50","16.67"
"STRAIGHT BOURBON WHISKEY","018198","Ezra Brooks 1.75L","24.90","2.45","22.45","12.83"
"STRAIGHT BOURBON WHISKEY","018352","Four Roses Bourbon 750ml","18.90","3.00","15.90","21.20"
"STRAIGHT BOURBON WHISKEY","018350","Four Roses Single Barrel Bourbon 750ml","39.90","3.00","36.90","49.20"
"STRAIGHT BOURBON WHISKEY","018568","Henry McKenna 1.75L","23.95","4.00","19.95","11.40"
"STRAIGHT BOURBON WHISKEY","018656","Henry McKenna Single Barrel 750ml","26.95","3.00","23.95","31.93"
"STRAIGHT BOURBON WHISKEY","019009","Jefferson's KY Straight Bourbon 750ml","29.95","2.00","27.95","37.27"
"STRAIGHT BOURBON WHISKEY","019068","Jim Beam 1.75L","30.90","2.00","28.90","16.51"
"STRAIGHT BOURBON WHISKEY","017022","John J Bowman 750ml","49.95","3.00","46.95","62.60"
"STRAIGHT BOURBON WHISKEY","019226","Knob Creek 750ml","34.95","4.00","30.95","41.27"
"STRAIGHT BOURBON WHISKEY","000454","Knob Creek With Whiskey Stones 750ml","34.95","4.00","30.95","41.27"
"STRAIGHT BOURBON WHISKEY","018856","Larceny Bourbon 750ml","27.90","3.00","24.90","33.20"
"STRAIGHT BOURBON WHISKEY","019436","Lexington 750ml","29.95","4.00","25.95","34.60"
"STRAIGHT BOURBON WHISKEY","019638","Mattingly & Moore 1.75L","18.90","2.00","16.90","9.66"
"STRAIGHT BOURBON WHISKEY","020368","Old Forester 1.75L","33.90","3.00","30.90","17.66"
"STRAIGHT BOURBON WHISKEY","020456","Old Grand Dad 1.75L","34.95","3.00","31.95","18.26"
"STRAIGHT BOURBON WHISKEY","027544","Red Stag 750ml","18.90","2.00","16.90","22.53"
"STRAIGHT BOURBON WHISKEY","027577","Red Stag Honey Tea 750ml","18.90","2.00","16.90","22.53"
"STRAIGHT BOURBON WHISKEY","027582","Red Stag Spiced with Cinnamon 750ml","18.90","2.00","16.90","22.53"
"STRAIGHT BOURBON WHISKEY","022178","Russell's Reserve Single Barrel 750ml","49.95","3.00","46.95","62.60"
"STRAIGHT BOURBON WHISKEY","022158","Wild Turkey 101 1.75L","44.95","2.25","42.70","24.40"
"STRAIGHT BOURBON WHISKEY","022121","Wild Turkey 81 750ml","19.95","1.00","18.95","25.27"
"STRAIGHT BOURBON WHISKEY","022205","Wild Turkey Rare Breed 750ml","39.90","2.95","36.95","49.27"
"STRAIGHT BOURBON WHISKEY","086923","Wild Turkey Spiced 750ml","22.95","3.00","19.95","26.60"
"TENNESSEE WHISKEY","026586","Gentleman Jack 750ml","31.95","3.00","28.95","38.60"
"TENNESSEE WHISKEY","026658","George Dickel #12 1.75L","42.90","3.00","39.90","22.80"
"BOTTLED IN BOND WHISKEY","016416","Old Grand Dad 100 750ml","19.95","2.00","17.95","23.93"
"CORN WHISKEY","027260","Everclear Lightnin Corn Whiskey 750ml","16.95","2.00","14.95","19.93"
"CORN WHISKEY","027311","War Horn Whiskey 750ml","33.70","3.75","29.95","39.93"
"STRAIGHT RYE WHISKEY","027446","Defiant Whisky 750ml","54.90","5.95","48.95","65.27"
"STRAIGHT RYE WHISKEY","027052","Jefferson's Rye 750ml","39.90","2.00","37.90","50.53"
"MOONSHINE","086684","Firefly Apple Pie Mooneshine 750ml","19.95","2.00","17.95","23.93"
"MOONSHINE","086686","Firefly Caramel Moonshine 750ml","19.95","2.00","17.95","23.93"
"MOONSHINE","027503","Georgia Moon Peach Fruit Jar 750ml","12.90","1.00","11.90","15.87"
"BLENDED WHISKEY","027470","Bernheim Original Wheat Whiskey 750ml","24.90","3.00","21.90","29.20"
"BLENDED WHISKEY","027426","Bird Dog Hot Cinnamon 750ml","17.95","2.00","15.95","21.27"
"BLENDED WHISKEY","027418","Bird Dog Maple Flavored Whiskey 750ml","17.95","2.00","15.95","21.27"
"BLENDED WHISKEY","027434","Bird Dog Peach 750ml","17.95","2.00","15.95","21.27"
"BLENDED WHISKEY","023708","Fleischmann's Preferred 1.75L","15.90","2.00","13.90","7.94"
"WHISKEY","027475","Bird Dog Blackberry Flav. Whiskey 750ml","17.95","2.00","15.95","21.27"
"WHISKEY","073715","Evan Williams Cherry Reserve 750ml","13.95","2.00","11.95","15.93"
"WHISKEY","021376","Sam Houston 750ml","27.90","2.00","25.90","34.53"
"WHISKEY","027626","Whitetail Whiskey 750ml","17.95","2.00","15.95","21.27"
"WHISKEY","022175","Wild Turkey Russell Reserve 750ml","32.95","2.00","30.95","41.27"
"GRAPE BRANDY (DOMESTIC)","052136","Christian Brothers Frost 750ml","12.45","1.50","10.95","14.60"
"GRAPE BRANDY (DOMESTIC)","052186","Christian Brothers Grand Reserve 750ml","13.45","1.50","11.95","15.93"
"GRAPE BRANDY (DOMESTIC)","052376","Coronet V.S.Q. 750 750ml","11.95","2.00","9.95","13.27"
"GRAPE BRANDY (DOMESTIC)","052806","Korbel Brandy 750ml","11.95","1.00","10.95","14.60"
"GRAPE BRANDY (DOMESTIC)","053216","Paul Masson Grande Amber VS 750ml","12.45","1.00","11.45","15.27"
"GRAPE BRANDY (DOMESTIC)","053220","Paul Masson Grande Amber VS Pet 750ml","12.45","1.00","11.45","15.27"
"BRANDY IMPORTED","051036","Asbach Uralt Brandy 750ml","29.95","2.00","27.95","37.27"
"BRANDY IMPORTED","051383","Moletto Grappa Di Nebbiolo Da Barolo 750ml","39.90","2.00","37.90","50.53"
"BRANDY IMPORTED","066296","Remy Martin 'V' 750ml","39.90","3.00","36.90","49.20"
"BRANDY IMPORTED","050686","St. Remy VSOP 750ml","14.95","1.00","13.95","18.60"
"CANADIAN WHISKY","010553","Black Velvet Cinnamon Rush 750ml","12.90","2.00","10.90","14.53"
"CANADIAN WHISKY","010550","Black Velvet Toasted Caramel 750ml","12.90","2.00","10.90","14.53"
"CANADIAN WHISKY","012308","Canadian Hunter 1.75L","19.95","2.00","17.95","10.26"
"CANADIAN WHISKY","075873","Canadian Mist Maple Mist 750ml","10.95","1.00","9.95","13.27"
"CANADIAN WHISKY","013042","Collingwood 750ml","26.95","2.00","24.95","33.27"
"CANADIAN WHISKY","010890","Forty Creek Barrel Select 750ml","19.95","2.00","17.95","23.93"
"CANADIAN WHISKY","013638","Lord Calvert 1.75L","19.95","2.00","17.95","10.26"
"CANADIAN WHISKY","014192","Pendleton Canadian 750ml","24.90","2.00","22.90","30.53"
"CANADIAN WHISKY","012858","Rich & Rare Reserve Canadian 1.75L","24.90","3.00","21.90","12.51"
"CANADIAN WHISKY","015248","Windsor 1.75L","19.95","2.00","17.95","10.26"
"CANADIAN WHISKY","067273","Yukon Jack Jacapple 750ml","17.95","3.00","14.95","19.93"
"CANADIAN WHISKY","067275","Yukon Jack Wicked Hot 750ml","17.95","3.00","14.95","19.93"
"COCKTAILS (DOMESTIC)","063545","Sauza Sparkling Lime Margarita 750ml","12.90","2.00","10.90","14.53"
"COCKTAILS (DOMESTIC)","063543","Sauza Sparkling Mango Peach Margarita 750ml","12.90","2.00","10.90","14.53"
"COGNAC/ARMAGNAC","047546","Ansac V. S. 750ml","22.95","2.00","20.95","27.93"
"COGNAC/ARMAGNAC","047833","Courvoisier Exclusif VSOP 750ml","39.90","4.95","34.95","46.60"
"COGNAC/ARMAGNAC","064795","Courvoisier Rose 750ml","29.95","2.00","27.95","37.27"
"COGNAC/ARMAGNAC","047786","Courvoisier VS 750ml","31.95","2.00","29.95","39.93"
"COGNAC/ARMAGNAC","048146","Hennessy Black 750ml","41.95","3.00","38.95","51.93"
"COGNAC/ARMAGNAC","048168","Hennessy Os Gemeos 750ml","34.90","2.00","32.90","43.87"
"COGNAC/ARMAGNAC","048106","Hennessy VS 750ml","34.90","2.00","32.90","43.87"
"COGNAC/ARMAGNAC","048093","Hennessy VS Artistry By Futura 750ml","35.95","3.05","32.90","43.87"
"COGNAC/ARMAGNAC","048164","Hennessy VSOP Privilege 750ml","56.95","4.00","52.95","70.60"
"COGNAC/ARMAGNAC","048766","Meukow VS Cognac 750ml","29.80","2.05","27.75","37.00"
"COGNAC/ARMAGNAC","049156","Remy Martin X.O. Excellence 750ml","159.90","20.00","139.90","186.53"
"COGNAC/ARMAGNAC","049376","Salignac V. S. 750ml","19.95","1.00","18.95","25.27"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","084159","99 Apples 750ml","18.90","1.95","16.95","22.60"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","084170","99 Bananas 750ml","18.90","1.95","16.95","22.60"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","084166","99 Blackberries 750ml","18.90","1.95","16.95","22.60"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","084153","99 Cinnamon 750ml","18.90","1.95","16.95","22.60"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","084141","99 Peaches 750ml","18.90","1.95","16.95","22.60"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","084399","99 Whipped Cream 750ml","18.90","1.95","16.95","22.60"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","082212","Aristrocrat Peach Schnapps 1.75L","13.95","2.00","11.95","6.83"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","082207","Aristrocrat Tangy Sour Apple Schnapps 1L","7.50","1.00","6.50","6.50"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","073140","Chila Orchata 750ml","17.95","2.00","15.95","21.27"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","073571","Dekuyper Crave Chocolate Cherry 750ml","19.95","2.00","17.95","23.93"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","073574","Dekuyper Crave Chocolate Chili 750ml","19.95","2.00","17.95","23.93"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","073463","Dekuyper Mixologist Muddled Mint 750ml","12.90","1.00","11.90","15.87"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","086112","Dekuyper Triple Sec 1L","7.95","1.00","6.95","6.95"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","073732","Fabrizia Blood Orange 750ml","17.95","2.00","15.95","21.27"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","082956","Fire Water 750ml","19.90","4.00","15.90","21.20"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","080826","Ice 101 Peppermint 750ml","19.90","2.95","16.95","22.60"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","080330","Mary Hite Bowman Caramel Cream 750ml","21.90","1.95","19.95","26.60"
