"Description","Code","Brand","Retail Bottle Price","Discount Per Bottle","Sale Bottle Price","Price per Liter"
"STRAIGHT BOURBON WHISKEY","021236","1792 Ridgemont Reserve 750ml","31.95","2.00","29.95","39.93"
"STRAIGHT BOURBON WHISKEY","016538","Ancient Ancient Age 1.75L","25.95","2.00","23.95","13.69"
"STRAIGHT BOURBON WHISKEY","016580","Baker's 750ml","46.95","5.00","41.95","55.93"
"STRAIGHT BOURBON WHISKEY","016676","Basil Hayden's 750ml","41.95","3.00","38.95","51.93"
"STRAIGHT BOURBON WHISKEY","021482","Benchmark Bourbon #8 1.75L","19.95","2.00","17.95","10.26"
"STRAIGHT BOURBON WHISKEY","016850","Blanton Single Barrel 750ml","55.95","3.00","52.95","70.60"
"STRAIGHT BOURBON WHISKEY","017020","Bowman Brothers 750ml","29.95","2.00","27.95","37.27"
"STRAIGHT BOURBON WHISKEY","017086","Bulleit Bourbon 750ml","30.90","2.00","28.90","38.53"
"STRAIGHT BOURBON WHISKEY","027454","Cinerator Hot Cinnamon Fla. Whiskey 750ml","15.90","2.95","12.95","17.27"
"STRAIGHT BOURBON WHISKEY","017766","Eagle Rare Single Brl Bourbon 10 Yr 750ml","28.95","2.00","26.95","35.93"
"STRAIGHT BOURBON WHISKEY","017836","Early Times Bourbon 354 750ml","14.95","2.00","12.95","17.27"
"STRAIGHT BOURBON WHISKEY","017916","Elijah Craig 750ml","25.95","1.50","24.45","32.60"
"STRAIGHT BOURBON WHISKEY","018098","Evan Williams 1783 1.75L","28.95","2.00","26.95","15.40"
"STRAIGHT BOURBON WHISKEY","018048","Evan Williams Green 1.75L","20.50","2.00","18.50","10.57"
"STRAIGHT BOURBON WHISKEY","018120","Evan Williams Single Barrel 750ml","27.90","2.00","25.90","34.53"
"STRAIGHT BOURBON WHISKEY","018276","Fighting Cock 750ml","17.95","1.00","16.95","22.60"
"STRAIGHT BOURBON WHISKEY","018348","Four Roses Small Batch Bourbon 750ml","32.95","5.00","27.95","37.27"
"STRAIGHT BOURBON WHISKEY","018568","Henry McKenna 1.75L","23.95","4.00","19.95","11.40"
"STRAIGHT BOURBON WHISKEY","018656","Henry McKenna Single Barrel 750ml","26.95","3.00","23.95","31.93"
"STRAIGHT BOURBON WHISKEY","018928","J.T.S. Brown 1.75L","17.95","2.00","15.95","9.11"
"STRAIGHT BOURBON WHISKEY","019006","Jefferson Reserve 750ml","49.95","2.00","47.95","63.93"
"STRAIGHT BOURBON WHISKEY","019078","Jim Beam 7 Year 1.75L","39.90","3.00","36.90","21.09"
"STRAIGHT BOURBON WHISKEY","019028","Jim Beam Black 1.75L","49.95","5.00","44.95","25.69"
"STRAIGHT BOURBON WHISKEY","019112","Jim Beam Devil's Cut 750ml","26.95","2.05","24.90","33.20"
"STRAIGHT BOURBON WHISKEY","027392","Jim Beam Maple 750ml","18.90","2.00","16.90","22.53"
"STRAIGHT BOURBON WHISKEY","016708","Jim Beam's Choice 1.75L","35.95","2.00","33.95","19.40"
"STRAIGHT BOURBON WHISKEY","019338","Kentucky Supreme 1.75L","17.95","2.00","15.95","9.11"
"STRAIGHT BOURBON WHISKEY","019235","Knob Creek Single Barrel Reserve 750ml","44.95","4.00","40.95","54.60"
"STRAIGHT BOURBON WHISKEY","027604","Knob Creek Smoked Maple 750ml","34.95","4.00","30.95","41.27"
"STRAIGHT BOURBON WHISKEY","020908","Old 1889 Brand 1.75L","17.95","2.00","15.95","9.11"
"STRAIGHT BOURBON WHISKEY","020116","Old Grand Dad 114 750ml","22.95","2.00","20.95","27.93"
"STRAIGHT BOURBON WHISKEY","021208","Rebel Yell 1.75L","24.90","2.00","22.90","13.09"
"STRAIGHT BOURBON WHISKEY","027406","Red Stag Hardcore Cider 750ml","18.90","2.00","16.90","22.53"
"STRAIGHT BOURBON WHISKEY","021758","Virginia Gentleman 1.75L","25.45","2.00","23.45","13.40"
"STRAIGHT BOURBON WHISKEY","022213","Woodford Reserve 1.75L","69.90","5.00","64.90","37.09"
"TENNESSEE WHISKEY","026589","Gentleman Jack 1.75L","63.90","6.00","57.90","33.09"
"TENNESSEE WHISKEY","026608","George Dickel #8 1.75L","37.95","3.00","34.95","19.97"
"TENNESSEE WHISKEY","026826","Jack Daniel 7 Black 750ml","24.90","2.00","22.90","30.53"
"BOTTLED IN BOND RYE WHISKEY","027058","Jim Beam Rye 1.75L","37.95","2.00","35.95","20.54"
"CORN WHISKEY","027260","Everclear Lightnin Corn Whiskey 750ml","16.95","2.00","14.95","19.93"
"STRAIGHT RYE WHISKEY","027080","(Ri)1 750ml","39.90","3.00","36.90","49.20"
"STRAIGHT RYE WHISKEY","027025","Bulleit Rye 750ml","31.95","2.00","29.95","39.93"
"STRAIGHT RYE WHISKEY","027048","Knob Creek Rye 750ml","41.95","4.00","37.95","50.60"
"MOONSHINE","027326","Georgia Moon 750ml","12.90","1.00","11.90","15.87"
"MOONSHINE","076032","Junior Johnson's Midnight Moon 750ml","21.90","3.00","18.90","25.20"
"MOONSHINE","076036","Junior Johnson's Midnight Moon Apple Pie 750ml","21.90","2.00","19.90","26.53"
"MOONSHINE","076042","Junior Johnson's Midnight Moon Blackberry 750ml","21.90","2.00","19.90","26.53"
"MOONSHINE","076044","Junior Johnson's Midnight Moon Blueberry 750ml","21.90","2.00","19.90","26.53"
"MOONSHINE","076038","Junior Johnson's Midnight Moon Cherry 750ml","21.90","2.00","19.90","26.53"
"MOONSHINE","076046","Junior Johnson's Midnight Moon Cranberry 750ml","21.90","2.00","19.90","26.53"
"MOONSHINE","076040","Junior Johnson's Midnight Moon Strawberry 750ml","21.90","2.00","19.90","26.53"
"BLENDED WHISKEY","072427","Benchmark Brown Sugar 750ml","12.90","1.95","10.95","14.60"
"BLENDED WHISKEY","027470","Bernheim Original Wheat Whiskey 750ml","24.90","3.00","21.90","29.20"
"BLENDED WHISKEY","027426","Bird Dog Hot Cinnamon 750ml","17.95","2.00","15.95","21.27"
"BLENDED WHISKEY","024458","Kessler 1.75L","19.95","2.00","17.95","10.26"
"BLENDED WHISKEY","025208","Paul Jones 1.75L","15.40","2.00","13.40","7.66"
"WHISKEY","017668","Distiller's Pride 1.75L","16.95","2.00","14.95","8.54"
"WHISKEY","027410","Jim Beam Honey 750ml","18.90","2.00","16.90","22.53"
"WHISKEY","019032","Jim Beam Jacob's Ghost 750ml","23.95","2.05","21.90","29.20"
"WHISKEY","027626","Whitetail Whiskey 750ml","17.95","2.00","15.95","21.27"
"GRAPE BRANDY (DOMESTIC)","052316","Christian Brothers Brandy 750ml","12.45","1.50","10.95","14.60"
"GRAPE BRANDY (DOMESTIC)","053206","Paul Masson Grande Amber VSOP 750ml","14.40","1.00","13.40","17.87"
"GRAPE BRANDY (DOMESTIC)","052166","The Christian Brothers X.O. 750ml","13.95","2.00","11.95","15.93"
"BRANDY IMPORTED","050676","St. Remy X.O. Napoleon Brandy 750ml","16.95","1.00","15.95","21.27"
"CANADIAN WHISKY","010632","Canadain Club Reserve Triple Aged 750ml","18.90","2.00","16.90","22.53"
"CANADIAN WHISKY","010628","Canadian Club 1.75L","30.90","3.00","27.90","15.94"
"CANADIAN WHISKY","010846","Canadian Club Small Batch Classic 750ml","23.95","2.00","21.95","29.27"
"CANADIAN WHISKY","012308","Canadian Hunter 1.75L","19.95","2.00","17.95","10.26"
"CANADIAN WHISKY","011058","Canadian MacNaughton 1.75L","19.95","2.50","17.45","9.97"
"CANADIAN WHISKY","011298","Crown Royal 1.75L","57.90","4.00","53.90","30.80"
"CANADIAN WHISKY","010890","Forty Creek Barrel Select 750ml","19.95","2.00","17.95","23.93"
"CANADIAN WHISKY","013248","Harwood Canadian 1.75L","16.95","2.00","14.95","8.54"
"CANADIAN WHISKY","013638","Lord Calvert 1.75L","19.95","2.00","17.95","10.26"
"CANADIAN WHISKY","012888","Rich & Rare 1.75L","18.90","2.00","16.90","9.66"
"COCKTAILS (DOMESTIC)","057125","Chi Chi Gold Margarita 1.75L","12.90","2.00","10.90","6.23"
"COCKTAILS (DOMESTIC)","057148","Chi-Chi's Margarita 1.75L","12.90","2.00","10.90","6.23"
"COCKTAILS (DOMESTIC)","057174","Chi-Chi's Skinny Margarita 1.75L","12.90","2.00","10.90","6.23"
"COCKTAILS (DOMESTIC)","059522","Firefly Pink Lemonade 1.75L","17.95","2.00","15.95","9.11"
"COCKTAILS (DOMESTIC)","059533","Firefly Sweet Tea Vodka And Lemonade 1.75L","17.95","2.00","15.95","9.11"
"COCKTAILS (DOMESTIC)","063351","Skinnygirl Grapefruit Margarita 750ml","14.95","1.00","13.95","18.60"
"COCKTAILS (DOMESTIC)","063355","Skinnygirl Margarita 750ml","14.95","1.00","13.95","18.60"
"COCKTAILS (DOMESTIC)","063358","Skinnygirl Mojito 750ml","14.95","1.00","13.95","18.60"
"COCKTAILS (DOMESTIC)","063357","Skinnygirl Pina Colada 750ml","14.95","1.00","13.95","18.60"
"COCKTAILS (DOMESTIC)","063354","Skinnygirl White Cranberry Cosmo 750ml","14.95","1.00","13.95","18.60"
"COCKTAILS (DOMESTIC)","063359","Skinnygirl White Peach Margarita 750ml","14.95","1.00","13.95","18.60"
"COGNAC/ARMAGNAC","047546","Ansac V. S. 750ml","22.95","2.00","20.95","27.93"
"COGNAC/ARMAGNAC","047156","Cles Des Ducs V. S. O. P. - Armagnac 750ml","37.95","2.00","35.95","47.93"
"COGNAC/ARMAGNAC","047805","Courvoisier C 750ml","39.90","4.95","34.95","46.60"
"COGNAC/ARMAGNAC","047776","Courvoisier VSOP 750ml","41.95","2.10","39.85","53.13"
"COGNAC/ARMAGNAC","048108","Hennessy VS 1.75L","74.95","5.00","69.95","39.97"
"COGNAC/ARMAGNAC","048361","Kelt VSOP 750ml","61.95","4.00","57.95","77.27"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","084159","99 Apples 750ml","18.90","1.95","16.95","22.60"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","084170","99 Bananas 750ml","18.90","1.95","16.95","22.60"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","084166","99 Blackberries 750ml","18.90","1.95","16.95","22.60"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","084153","99 Cinnamon 750ml","18.90","1.95","16.95","22.60"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","084141","99 Peaches 750ml","18.90","1.95","16.95","22.60"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","084399","99 Whipped Cream 750ml","18.90","1.95","16.95","22.60"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","082706","California Butterscotch 750ml","10.95","1.00","9.95","13.27"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","072722","Christian Brothers Honey Liqueur 750ml","11.95","1.50","10.45","13.93"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","073496","Dekuyper Amaretto Signature 750ml","10.95","1.00","9.95","13.27"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","085526","Dekuyper Blue Curacao 750ml","10.95","1.00","9.95","13.27"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","073721","Evan Williams Cinnamon Reserve 750ml","13.95","2.00","11.95","15.93"
"CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC)","073702","Evan Williams Honey Reserve 750ml","13.95","2.00","11.95","15.93"
