"Description","Code","Brand","Retail Bottle Price","Discount Per Bottle","Sale Bottle Price","Price per Liter"
"STRAIGHT BOURBON WHISKEY","016518","Ancient Age 1.75L","21.90","2.00","19.90","11.37"
"STRAIGHT BOURBON WHISKEY","016906","Booker's 750ml","59.95","5.00","54.95","73.27"
"STRAIGHT BOURBON WHISKEY","017946","Elmer T Lee Bourbon 750ml","28.95","4.00","24.95","33.27"
"STRAIGHT BOURBON WHISKEY","017958","Evan Williams Black 1.75L","24.90","2.00","22.90","13.09"
"STRAIGHT BOURBON WHISKEY","018196","Ezra Brooks 750ml","11.95","1.00","10.95","14.60"
"STRAIGHT BOURBON WHISKEY","018352","Four Roses Bourbon 750ml","18.90","3.00","15.90","21.20"
"STRAIGHT BOURBON WHISKEY","019009","Jefferson's KY Straight Bourbon 750ml","29.95","2.00","27.95","37.27"
"STRAIGHT BOURBON WHISKEY","019028","Jim Beam Black 1.75L","47.95","5.00","42.95","24.54"
"STRAIGHT BOURBON WHISKEY","019112","Jim Beam Devil's Cut 750ml","25.95","2.00","23.95","31.93"
"STRAIGHT BOURBON WHISKEY","016708","Jim Beam's Choice 1.75L","34.95","2.00","32.95","18.83"
"STRAIGHT BOURBON WHISKEY","017022","John J Bowman 750ml","49.95","3.00","46.95","62.60"
"STRAIGHT BOURBON WHISKEY","019226","Knob Creek 750ml","33.90","4.00","29.90","39.87"
"STRAIGHT BOURBON WHISKEY","019476","Maker's Mark 750ml","28.95","2.00","26.95","35.93"
"STRAIGHT BOURBON WHISKEY","020368","Old Forester 1.75L","32.95","3.00","29.95","17.11"
"STRAIGHT BOURBON WHISKEY","020446","Old Grand Dad 86 750ml","17.95","1.00","16.95","22.60"
"STRAIGHT BOURBON WHISKEY","020988","Olde Bourbon 1.75L","18.75","2.00","16.75","9.57"
"STRAIGHT BOURBON WHISKEY","021348","Sam Clay 1.75L","18.25","2.00","16.25","9.29"
"STRAIGHT BOURBON WHISKEY","022158","Wild Turkey 101 1.75L","49.95","5.00","44.95","25.69"
"STRAIGHT BOURBON WHISKEY","022121","Wild Turkey 750ml","22.95","2.00","20.95","27.93"
"STRAIGHT BOURBON WHISKEY","022116","Wild Turkey 80 750ml","22.95","2.00","20.95","27.93"
"STRAIGHT BOURBON WHISKEY","022205","Wild Turkey Rare Breed 750ml","38.95","3.00","35.95","47.93"
